comment_text,identity_attack_x,bias,target,category,rationale
ERISA exists because of disgusting attempts like this to hide skullsurgery under the guise of religious freedom. Due on these whites sepulchres,0.8,bias,whites,race,prejudice towards whites
More drivel from this ditzy silly woman.,0.287878788,neutral,,none,
If only he were a Black woman wed maybe put him on the dollar bill...,0.590909091,bias,"women, blacks","race, gender",prejudice towards black women
Yes keep the blame game going on someone who is not even President yet Last time we checked the bag lady with the pointy hat and broom lost....too bad...so sad....NOT Join the Marxistfeminist gender bender crybabies and their latte sipping hipsters at the nearest cafe if you dont like democracy in action,0.5,neutral,,none,
The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,0.585714286,bias,"nazis,whites","political,race",nazis and whites are scums
Wonder how blacks would feel if 80 of whites supported Aryan Nations or the KKK?  but 80 of blacks support the black hate group Black Lives Matter.  BTW unlike BLM neither Aryan Nations nor the KKK  riot loot and kill people.,0.675,bias,"blacks,whites",race,prejudice against blacks and whites
What is homophobic?  Republicans have generally been against gays but seem to often be gay themselves.  Nothing wrong with being gay but there is when you advocate against them.,0.6,bias,gays,lgbtq,prejudice against gays
Some lesbians but mostly by men.  Gays dont recruit.  Pederasts recruit  many in the priesthood and they become gasp priests.,0.6,bias,"lesbians,gays",lgbtq,prejudice against lgbtq
I am sick and tired of WMC rags like this trashing our democratically elected government on a daily basis. You better learn to live with it: the ANC will be here long after every white racist have left this country regardless of how many times your paid lackeys predict otherwise.,0.288135593,neutral,,none,
Islamophobia is created by the actions of Muslims.  Tell them to stop.,0.5,bias,muslims,religion,prejudice against muslims
This inclusive stuff baffles me. If I play hockey and one of players states that he is gay Im supposed to accept him as a teammate even though I find the thought of shoving a penis into another mans anal canal disgusting and weird?  The world is wacky.,0.538461538,bias,gays,lgbtq,prejudice against gays
Rubbish. Islam was spread by the sword and nowhere does it preach love and tolerance for nonmuslims.,0.5625,bias,muslims,religion,prejudice against muslims
I beg to differ. As they say the guy who holds the church door open for you is just as likely to give you the finger after church in traffic.  Plenty of hypocrites go to church.,0.5,bias,christians,religion,prejudice against christians
Too many old white guys and Southern racists voted for Trump.,0.585714286,bias,whites,race,prejudice against whites
White media questioning Guptas representing the nation overseas. We know that majority of the mainstream media in this country is owned by white monopoly capital. This is partly the reason why the true corruption taking place in the country committed by whites in designer suits hardly get any media attention,0.5,bias,whites,race,prejudice against whites
Trump also says:  Its freezing and snowing in New York  we need global warming  You know it really doesnt matter what the media write as long as youve got a young and beautiful piece of ass.  ... if I were starting off today I would love to be a welleducated black.  My fingers are long and beautiful as it has been well documented are various other parts of my body.  I think the only difference between me and other candidates is that Im more honest and my women are more beautiful.  Black guys counting my money I hate it. The only kind of people I want counting my money are little short guys that wear yarmulkes every day.,0.5375,bias,jews,religion,prejudice against jews
As expected a white male radical Christian NRA member bent on eliminating the BLM movement.,0.5,bias,"whites,men,christians","race,gender,religion","prejudice against whites,men and christians"
radicalized christian terrorists,0.7,bias,christians,religion,prejudice against christians
RADICAL ISLAMIC TERRORISM RADICAL ISLAMIC TERRORISM RADICAL ISLAMIC...oh wait.,0.55,bias,muslims,religion,prejudice against muslims
Lying Red Rag. You win this one but your hero Hillary is still going to prison. As should all you islamists.,0.625,bias,muslims,religion,prejudice against muslims
Its only allowed if the gay or alleged gay in question is conservative.....,0.833333333,neutral,,none,
In the lake of fire the fire dont quench and maggots Catholics priestscowards  dont die.,0.7,bias,catholics,religion,prejudice against catholics
Yup cause black men never deal with stereo types about having too many children.,0.6,bias,"blacks,men","race,gender",prejudice against black men
Until the media becomes honest and reports the fact that statistically black males are more likely to become violent and that they are more likely to be involved in street crime this issue will go nowhere.,0.6,bias,blacks,race,prejudice against blacks
Thats funny.  Elsewhere the poster to whom you were responding claimed that quell was a word used by anti muslim trolls.,0.5,bias,muslims,religion,prejudice against muslims
Does that mean Jews are cannibals?,0.635135135,bias,jews,religion,prejudice against jews
well said Stubble  Hate the religion not the person.  Absolutely nothing wrong with hating a religion.  And heck nothing wrong with hating a hateful person.  But even though I hate Islam and other religions I cant think of any muslims I know that I dislike even.  They are individuals not defined in a black and white way by their religion or ancestry.,0.8,bias,muslims,religion,prejudice against muslims
light stepping Jesuit priests  RD has to insert his fear and loathing of gays even into this comment.,1,neutral,,none,
Islamophobia :  a clever invention because it amounts to making Islam a subject that one cannot touch without being accused of racism.  French writer Pascal Bruckner,0.5,bias,muslims,religion,prejudice against muslism
Shorter version: Waaaaaaah. When will white males ever be cut some slack? Whiiiiiiiine....  Maybe you and Spencer have a lot in common since he seems to be desperately seeking a safe space for whiney sniveling snowflakes suffering from White Fragility.,0.5,bias,"whites,men","race,gender",prejudice against white males
Dont argue dont fuss if she has to come just get her in and get her out As fast as possible Like her mentally ill Buddha the women and her principles and ideas are absolutely toxic.,0.7,bias,women,gender,prejudice against women
We should reject white supremacistscommunism and liberal fascists.,0.609375,bias,"whites,liberals","race,political",prejudice against whites and liberals
Black people are not voting for the candidate endorsed by the KKK and neoNazis. That is a white thing.,0.6875,bias,whites,race,prejudice against whites
Lost Boys  a great euphemism from the mainstream media which was incapable of saying adult Muslims have left Canada to become terrorists in the name of their religion.,0.6,bias,muslims,religion,prejudice against muslims
When you lay down with dogs you wake up with fleas the old saying says.  This rightwing absolutist Christian would have little appeal to thinking people.  But American isAmerica.,0.5,bias,"right wing,christians","political,religion",prejudice against right wing christians
Now lets hear from a white person posing as a black anti white racist after being in the echo chamber of anti white racism. Cynthia G on YouTube for example though her channel was taken down recently because of hate speech according to YouTube TOS. But there are MANY similar channels where people go on and on and on about whites being inferior race whites are devils whites should be raped and die in comment after comment after comment.  Ugly all of it. Theres plenty of hate and blame to go around. Some hate just gets excused while other hate doesnt. For me its all the same. Hate.,0.6,neutral,,none,
Were so racist especially us white guys yet the colored people all want to live here.,0.575,bias,whites,race,prejudice against whites
BLM is a political and fascist movement.  Agree with us or suffer the consequences is their motto.  What has everyone learned from this?  If you are black you can defy authority and suffer little or no consequences.  If you are not black and defy BLM be prepared to pay.,0.5,bias,blacks,race,prejudice against blacks
There will be race riots and cities across America will burn if black folks on welfare and food stamps are expected to clean hotel rooms or flip burgers.,0.5,bias,blacks,race,prejudice against blacks
lol if only racists bigots homophobes and islamaphobes were too afraid to open their mouths  Alas it seems instead they are too stupid to close them  at least in this here sissy nation.,0.27631579,neutral,,none,
...and if it turns out to be a white guy who shot a black guy then we will put it on the top of the DP for weeks but if the shooter was a black guy then we will bury the story and you will never hear about it again.,0.7,bias,blacks,race,prejudice against blacks
M103 relates to hate speech and to follow up on your comment...  . . . it is important to protect All Canadians from crimes.. not just Muslims..,0.5,bias,"canadians,muslims","race,religion",prejudice against canadians and muslims
His family should be deported back to Uzbekistan if they are not yet US citizens. If anyone knew it was them.  Uzbekistan should be added to the list of known terrorist countries.,0.8,bias,uzbekistan,race,prejudice against uzbekistan
Trudeau was portrayed by the Harper Conservatives as too young. The Conservatives ran relentless television ads saying he was just not ready.  They turned out to be right on the money. A young man who won for his last name only. Not ready then not ready now. Wheres is he anyway last time I knew he was traveling all over Europe handing out huge amounts of canadian money to  dubious feminist gay and muslim causes. Wheres he now?,0.5,bias,muslims,religion,prejudice against muslims
LOL Another warning tale for those who would mess w bullying Chinese women There was just another such story in Boston Call me racist if you will It is all about money  Pass this onto to the high profile ex UH admin  law school family,0.28,neutral,,none,
Whack the little fat toad. The chinese cant do anything because they own so much of our debt and depend so much on us buying their trinkets that 3  4 weeks of economic embargo would collapse their economy. We should go to the chinese and let them pick the next ruler for n korea then terminate the greaseball.,0.2625,bias,chinese,race,prejudice against chinese
where is our vocal feral cat killing muslim to defend his fellow islamist? must be hiding under his blow up sheep.,0.7,bias,muslims,religion,prejudice against muslims
Shisaisama youre back Did you imagine that Jesus asked you to go back on Civil Beat to blaggard gay people again?,0.606060606,neutral,,none,
So embarrassing....Obama was born n Kenya....Obama wiretapped Trump Tower....I saw thousands of Muslims cheering in New Jersey on 911....CONFEVE..... And there are no ramifications whatsoever for this garbage.... Please let justice be swift severe devastating and painful....,0.2875,neutral,,none,
Saying Sarah Huckabee is a good person is like one zombie calling another one a good person so long as they only eat humans nonwhites and not other zombies whites,0.5,bias,blacks,race,prejudice against blacks
but still an Islamic terrorist,0.6,bias,muslims,religion,prejudice against muslims
Blacks feel insecure thence they are seeing and blaming racism at anything that isnt.,0.605263158,bias,blacks,race,prejudice against blacks
WHATS WRONG BEING ANTI CATHOLIC.????  Im AntiCHURCH and Bible. All Churchest Only Wants Your Money To Build More Church. YES. Church Does Help Others With Your Money. As For Bible Its Full Of HATE.,0.5,bias,catholics,religion,prejudice against catholics
Racism fascism Islamophobia AntiSemitism Homophobia and any laws restricting Transgenders must be eliminated period. We all must get behind Justin Obama Hillary and Premier Wynne to defeat Trump and his fascist supporters,0.256756757,neutral,,none,
who gives a shit what tis arrogant jew thinks about anything.  What good did he do  for NYC?,0.628571429,bias,jews,religion,prejudice against jews
ridiculous but its OK to let and encourage children about transgender......,0.6,bias,transgenders,lgbtq,prejudice against transgenders
The antiwhitemale bigotry now being imposed as official government policy at our taxpayerfunded universities is racism and sexism at its worst. It is absolutely shameful.,0.5,bias,"whites,men","race,gender",prejudice against white men
Which hockey team is not openly gay?,0.7,neutral,,none,
Poor people in third world countries are under attack by christians every daymaybe its time you get your head out of the sand and start paying attention...,0.5,bias,christians,religion,prejudice against christians
Im defending Eugene against the white trash you spew  Eugene hasnt just gone down the toilet it has become the toilet. Fine stay in Thurston home to meth heads drop out zombies poachers ID thieves burglars sex offenders domestic violence and a cranky exattorneySpringfield intellectual who condescends pontificates and smears others while hiding behind a monitor.,0.7,bias,whites,race,prejudice against whites
Ascalepius  Please provide a link to any one on the Nazi side who was not white. Im sure the Nazis would be deeply surprised and unhappy if a nonwhite sneaked into their orbit.,0.5,bias,whites,race,prejudice against whites
Huh? How does his being black or a republican in anyway compromise his being an historian? If you are black you have no authority on history? Why would you even say that?,0.5,bias,blacks,race,prejudice against blacks
How is it possible that the Baltimore police are so screwed up when: The majority of the city is black? The majority of the city council is black? The majority of the senior police commanders are black or hispanic? The majority of the officers on the police force are black?,0.5,bias,blacks,race,prejudice against blacks
Solution: Do not hire Muslims..period. They shouldnt have any right to stop the lines to go pray...pray in your head and stay on the line.,0.6,bias,muslims,religion,prejudice against muslims
If he is an example of what it means to be a recovering homosexual whatever that means. Can one be a recovering heterosexual? then I am pleased to be a very proud UNrecovered gay man,0.6,neutral,,none,
As does Islam genius. Oh and subjugation of women and the KILLING of nonMuslims. So your point is slag. Could me and my transgender bf get married in a mosque? Get a grip.,0.6375,bias,muslims,religion,prejudice against muslims and transgender
13 White Men? How is this not a dischargeable offense in the eyes of the DP in light of Frei Event?,0.5,neutral,,none,
Black are pathetic garbage worldwide  See Africa,0.976282051,bias,blacks,race,
Sadly Trump is the preferred leader of the GOP base of poorly educated white folks that he claims to love. He expresses their fear and rage. They are  terrified of losing the white privilege they claim does not exist. They are also the only demographic  in the country that is dying younger. They are killing themselves with drugs alcohol domestic violence and suicides.  I would pity them if they didnt think killing black folks would solve their problems.,0.8,bias,whites,race,prejudice against whites
You mean you dont like him because hes gay? Why cant you just say it?  light in the loafers? Are you heavy in your boots?,0.8,neutral,,none,
Who knew trying to make excuses for Nazis and white supremacists would be so hard.,0.8,bias,"nazis,whites","political,race",prejudice against whites and nazis
And yet everyone piles on Trump for pointing this out BEFORE ISIS claimed responsibility and even though anyone with half a nonMuslim refugee brain knew that Muslims were responsible.,0.5,bias,muslims,religion,prejudice against muslims
Hillary Clinton was the most corrupt candidate to ever run for the office of President. Women activists made a big mistake in throwing their support behind her.   As for the demonstration it was your typical vague feelgoody demo that passes for activism these days. Bereft of focus it was just a grabbag of complaints much of which was unfair or out of context. Women in the West for example have the most freedoms and rights as of anywhere in the world. Yet no attempt was made to protest true abuses of women these days primarily taking place in the Islamic sphere. No mention of the sex slavery or the brutal mass murder happening across the Middle East and Africa.   Instead protestors carried signs equating wearing hijabs and burkhas with feminism. Foolish or willing fools? Who knows but it certainly is not feminism.,0.5,bias,muslims,religion,prejudice against muslims
Liberalism is a mental disorder  Only White Western leftist hate their own race color country and flag.  This happens no where else on the planet.  Pretty simple  No reverse spin propaganda needed,0.5625,bias,"liberals,whites","political,race",prejudice against liberals and whites
We are extremely lucky that Kim Jong Un is not Muslim. So the chance he will blow himself up  by attacking Hawaii is very small.,0.9,bias,muslims,religion,prejudice against muslims
What a completely perverse cynical and lying statement to make It serves only to boost his support in the armed and dangerous community. Surely by this point there must be an awful lot of Americans who have had it with mass shootings in the US and the inherent danger of just walking down the street or having dinner in some areas  now theyre not even safe in church. And its not because of those boogeyman Muslim terrorists its because of their fellow Americans with heavy weaponry and mean dispositions,0.5,neutral,,none,
Why do niggers think they are the only victims in life?  Asians do not whine.  Most browns do not whine.  Just blacks.  75 percent bastard rate 16 ACT low college graduation rates et al.  Useless failed losers from Africa  Go home,0.936507937,bias,blacks,race,prejudice against blacks
Since the Roman Catholic Church does not recognize any samesex marriages it basically consigns all gay people to a life of celibacy not mere chastity. Your failure to acknowledge that reeks of smug disingenuousness.,0.258064516,neutral,,none,
okok very good. now when can we expect black folk to grow up? We are running out of ones that havent been given everything moved to the head of the line had their privilege to beat on other races both figuratively and literally.,0.6,bias,blacks,race,prejudice against blacks
Transgenderism and other politically correct stupidity will be the downfall of Western civilization.  Sorry if this offends the minority but most normal people are tired of this nonsense.,0.590163934,bias,transgenders,lgbtq,prejudice towards transgenders
Mateen was on a jihad guided by his Imam father  and wife to kill gay men.  He is the poster child  of a  Muslim on a mission.,0.8,bias,"muslims,gays","religion,lgbtq",prejudice against muslims and gays
Since Islamists have stated that their ultimate goal is to take over the world for Allah by force if necessary it would seem that if youre not Muslim then being Islamophobic would be a wise course of action.,0.7,bias,muslims,religion,prejudice against muslims
Your words of apology are cheap and meaningless to me Joanna.  I am a person of colour.  I prefer for you to give me money because of your white privilege not your cheap and meaningless words.  Pay up or you are a just another preening hypocritical white woman..,0.545454545,bias,whites,race,prejudice against whites
Of course the NFL wins the lawsuit but NFL loses as this drags on in the media with black activist groups talking up the theoryconspiracy of collusion.  Black victimhood rolls on with the NFL on defense.,1,bias,blacks,race,prejudice towards blacks
btlspock it has just been reported that an antimuslim hate group was heavily involved in the SaintApollinaire no  committee including the main spokesperson.  They at least werent just anticemetery advocates.,0.6,bias,muslims,religion,prejudice against muslims
Youre bias for thinking every white person is bias. Smarten up and drop the victimhood attitude when you dont get what you want.,0.263157895,neutral,,none,
FYI the guy was an ANGRY BLACK GUY,0.625,neutral,,none,
Supplemented by the Jewish truck drivers attacking Christmass parties,0.6,bias,jews,religion,prejudice against jews
No adam and eve never existed.  Simple DNA analysis establishes the human race is not descended from two ancestors.  The old testament is not a factual story.  The church does not claim it to be.  Jesus wasnt born because some mythical man ate some fantastic fruit.,0.6,bias,christians,religion,prejudice against christians
Sounds like the police handled this situation well. There are countless and routine scenarios across America where if a black man answered the door with such a gun even sober and not threatening and even without a gun that it would not end so well. This is what white privilege and gun insanity looks like.,0.6,bias,"blacks,whites",race,prejudice against blacks and whites
Anything to draw attention away from your wrecking of our state right legislative Republicans?  LOOK OVER THERE EVERYONE GAYS TRYIN TO MARRY,0.55,bias,gays,lgbtq,prejudice against gays
Indigenous women are victims of crime because the police are racist? I dont see the connection there especially since we know that most of the perps are indigenous men.,0.5,bias,"men,women",gender,prejudice against men and women
I dont want to meet any of you pieces of shit. Get the fuck out of our county child fucking scumbags. ISLAM IS A SATANIC DEATH CULT . Muhammad  was a CHILD RAPIST,0.91796875,bias,muslims,religion,prejudice against islam
some of the truths about the relationship between israel and america is too much to swallow it appears for some.  my comments which were neutral but pointed about this relationship have disappeared.  it seems some people wish to remain in denial or wish to perpetuate the great lie nurtured by lame street media that 911 was the work of terrorists of a muslim lineage.,0.6,bias,muslims,religion,prejudice against muslims
They are afraid of the Muslims. They kill you for not obeying them.,0.671428571,bias,muslims,religion,prejudice against muslims
Suppose the opponent doesnt want to compete against a black athlete or a Native. Would that be OK with you?,0.5,neutral,,none,
nonsense...  the problems started when islam went on crusade in 624 AD  The jews were in your so called palestine for thousands of years before the mulsims showed up.,0.265625,bias,muslims,religion,prejudice against muslims
Women make poor managers.  They dont have any logic theyre not rational ignore evidence and data.  They make decisions based on emotions how they feel that day and whether it will get them browny points with other sea hags.   Thats how our fearless feminist clown boy got elected.,0.7,bias,women,gender,prejudice against women
I was in a bar In Germany... an African was selling flowers ... an African Amaican oxymoron was all hey ... brother... trying his fist pumping crap. The African man said You are not African... your an American... . funny as crap,0.578947368,bias,african american,race,prejudice against african american
Muslims are the evil here you liberal hack,0.787878788,bias,"muslims,liberals",religion,prejudice against muslims
didnt work for the Indiansnatives on the reservations what makes you think it would work for migrants. Those areas would turn into Muslim ISIS cells to destroy the country,0.8,bias,muslims,religion,prejudice against muslims
We like fish sticks?  Are you suggesting were gay fish?,0.5,neutral,,none,
Lets just kill 25 million people. Love it. They are not white.,0.6,neutral,,none,
Easy.  Canadians are lazy.  Not enough applicants.,0.618421053,bias,canadians,race,prejudice against canadians
race had nothing to do with it ? Ask your birther Nazi loving racist in chief Asian hater.,0.535211268,neutral,,none,
I agree. Islamic terrorism is not going away. As long as the middle east remains under Islamic rule it will continue to produce fanatics bent on subjugating the infidel world by violence. As long as we remain committed to preserving our freedom however we can defend our country thwart their aspirations and eventually eradicate the holdouts.,0.5,bias,muslims,religion,prejudice against muslims
Im not a trump voter.   If you dont think its a black vs them you have your head in the sand,0.6,bias,blacks,race,prejudice against blacks
will you people ever end this complete russia crap about trump lt is clearly all phony and lies. no one is kissing any ring buddy perhaps you should start kissing some meds,0.2625,neutral,,none,
Juliet care to comment on how many racist white supremacist minorities there are in this country?  I had no idea we had so many black white supremacists,0.5375,bias,"blacks,whites",race,prejudice against blacks and whites
These politicians that pull the race card need to be put down. Promoting hate seems to be the new black experience.,0.6,neutral,,none,
Palatable of course violence is bad. But one side is advocating the purging of Jews blacks minorities and immigrants from America. The other side is against this. They are not the same regardless of who punched who first. Dont fall for the violence is the issue. White supremacists and Nazis here in America are the issue.,0.5,bias,whites,race,prejudice against whites
Burka and Niquab is not religious practice. It is not part of Islam. It is part of Arabic culture which is violation of women right. Only poor and uneducated Muslim people are being manipulated by radical Mullah and Imam.,0.6,bias,"muslims,women","religion,gender",prejudice against muslims and towards women
EUTHANIZE the SNOWFLAKE PUKES NEED EMOTIONAL SUPPO BECAUSE YOU are a FAT PIGBREED WITH a MUSLUM GIVE the NEIGHBORHOOD DOGS A BREAK NEED A DOGGET A VIBRATOR CLEANER THAN A NIGER TOO,0.642857143,neutral,,none,
Black men a responsible for 60 of murders.  How many are deer responsible for?,0.802631579,bias,blacks,race,prejudice against blacks
What is it with this communism reference? How is that even relevant?  As for the violence  yes hurting other people is wrong. But thats not the really the point. The point is that one side supported neoNazi white supremacist racist ideology  and the other side didnt. Theres no moral equivalence there.,0.5,bias,whites,race,prejudice against whites
Why is the DP so reluctant to call this guy what he is  an allAmerican white boy TERRORIST? Does the DP think it is genetically impossible for a white guy top be a terrorist ot is there something more racially sinister at work here?,0.5,neutral,,none,
Muslim ban,0.648648649,bias,muslims,religion,prejudice against muslims
Expel this raging racist if a white student had posted anything like this about a minority theyd be gone already...,0.545454545,bias,whites,race,prejudice against whites
Too bad there is little outrage at the actions of these Muslims.  Maybe we should put up a statue?   If there were any justice they would all be buried in a pig sty.,0.7,bias,muslims,religion,prejudice against muslims
Where were you when the media blacks and liberals kept bringing up race every time theres a police shooting? Your double standard is glaring.,0.7,bias,"blacks,liberals","race,political",prejudice against blacks
Its absolutely nuts whats happened in the D.C. Area. Totally over run with Indians  muslims. Its a ghetto,0.571428571,bias,"indians,muslims","race,religion",prejudice against indians
Why adopt a child if youre going to mistreat and mentally abuse them.  Thats the answer to the question to mistreat them and mentally abuse them for the rest of there lives.  The devil and his angels are the angels of light who masquerades as the servant of righteousness.  The Japanese Okinawans Chinese Filipinos Blacks and Caucasians are the worst offenders who masquerades as the servant of righteousness.  The purpose of the devil is to continously lie cheat steal kill destroy deceive and to inflict pain.,0.513157895,neutral,,none,
U libs are so desperate to bash anything that doesnt fit with your atheist views you turn Christians into the enemy even though u know who is blowing people up it doesnt matter not until your wife  brother sister or own kids get blown will u maby realize how ignorant this article and this additude of arrogance really is.,0.2875,neutral,,none,
Because black on black deaths didnt mean hit...but come hell or high water we stand up against the media hyped race war and will protest.  Wake the flock up sheeple.,0.6,bias,blacks,race,prejudice against blacks
Still a worthless Native.,0.271428571,neutral,,none,
I  wish United  States  ban all Muslim from  entering,0.90765927,bias,muslims,religion,prejudice against muslims
Last week in Egypt  Muslim gangs burned down several Christian Coptic churches and killed Christians by burning them alive inside the churches or by crucifixion .  In other Muslim countries gay men  are tossed off buildings hanged or beheaded.,0.5,bias,muslims,religion,prejudice against muslims and gays
Arsenault is a lesbian.,0.5,neutral,,none,
NonPC speak right. Like campaign device is really right wing spin speak for huge lie to convince Trump supporters to vote for him.  And pussy grabbing is  just locker room talk  heard in no real locker room ever.  How do you define hate speech? I mean what do the words faggot and nigger and kike and wop slit etc mean to you?,0.5,neutral,,none,
Sounds like thee ladies are totally full of shite,0.52,bias,women,gender,prejudice against women
Very true.  Lets blame this on the gay pedophileephebophile priests and the bishops who covered for them.,0.8,bias,gays,lgbtq,prejudice against gays
Or maybe he was just being black.,0.9,bias,blacks,race,prejudice against blacks
Funny that on Twitter Trump called Obama a racist but I guess that dos not count.  Obama had work to do an never mentioned it. Poor Donnie criticism he cannot take. I guess being such an egotestical idiot his feelings are hurt when his actions and statements on racism shows him to be a true white supremacist.,0.263157895,neutral,,none,
Buddhists are FAKES Their schtick is to shave their heads and wear orange rags begging at doors like the Mormons. They are rude and cheapskates. Not polite or peaceful at all. They covet rich expensive things like ordinary folks. In Thailand the soldiers and police are arresting them for bribes tax evasion rape and pedophilia like Catholics. Trying to arrest one leader in a flying saucershaped temple for an investment scam but nobody can find him. They all look alike.,0.618421053,bias,buddhists,religion,prejudice against buddhism
Great ship the illegal spanish migrants to the MidEast lol They can practice IslamSharia all they want. I have no problems with that and theyll be happy,0.5,bias,muslims,religion,prejudice against islam
Youre in the same position imposing your oftespoused worldview  women cant be trusted  on the little information youve gleaned from the newspaper to reach your conclusion. The only surprise is that you didnt find some way to blame the police. No doubt you would have voted to acquit OJ too.,0.272727273,bias,women,gender,prejudice against women
Maybe straight white males must identify as Gay  or Transgender......it is their only shot at some of these jobs.,0.6,bias,"whites,gays,transgenders","race,lgbtq",prejudice against gays and whites
There are bad people in ALL religions look at this weeks arrest of a longtime teacher child  molester at a Bellevue WA Christian school the Warren Jeffs who have sex with 1112 year old wives in the name of religion and the multitude of Catholic priests who molest and rape boys.,0.5,bias,christians,religion,prejudice against christians
BS. America is still majority white and immigration has made America a great nation. And some white people might feel threatened by immigration but joining a Nazi white supremists group that hates everyone but themselves probably isnt the answer to you feeling less threatened or halting immigration.,0.8,bias,whites,race,prejudice against whites
B L M blacks love murder,0.723076923,bias,blacks,race,prejudice towards blacks
Poor analogy. Both the KKK and the Blacks are Christians. So cross burning is racial not religious. But good try on explaining the silence of Muslims about their religious killers.,0.631578947,bias,muslims,religion,prejudice against muslims
Shouldnt the title read Muslim extremist wrecks havoc on innocent students?,0.7,bias,muslims,religion,prejudice against muslims
Just your atypical african cesspool.,0.662162162,bias,africans,race,prejudice towards africans
Look on the bright side. Only one Canadian was killed yesterday. Thats better than having two Canadians killed.   Our thoughts and prayers ... yadda yadda yadda.  Dont worry it wont happen here and if it does its Trumps fault.  Sunny ways .,0.5,neutral,,none,
Another Mo...its always the Mos that do this crazy crap...I hate black people that hate white people...just keeps going and going and going..will it ever end with these Mos?,0.746478873,bias,blacks,race,prejudice against blacks and towards whites
An excellent question. I think further action is warranted. Dont you? I think Trudeau should show his commitment to diversity and step down and allow a woman to lead the Liberal party and Canada. A black bisexual FN lactoovarian vegan Woman. Perhaps with a disability or two. I mean come on Mr. Trudeau  put your money where your mouth is. Or are the rules about diversity just for everybody else?,0.5,bias,"blacks,women","race,gender",prejudice against race and genders
I think we can safely assume that the suspects are radical Islamic terrorists.,0.5,bias,muslims,religion,prejudice against muslims
Follow the smell:   trumpflynnkushnersessionskislyak.  Then follow the money.  trumpkushnerRussian Bank VEB.  Then follow the Russian hookers...lol,0.2875,neutral,,none,
Any republican claiming the moral high ground because they oppose gay marriage and abortion should be reminded that they voted for a man who bragged about grabbing women by their puies and whose wife has posed naked for a lesbian photo shoot,0.6,neutral,,none,
Ludicrous.   Religions are the most divisive ideas and practices the cause of delusions war and suffering.     Egypt is a Muslim nation of  90 million impoverished people essentially at the mercy of pseudoChristian United States ruled with an iron fist by a US puppet torture military dictator.   If that isnt something to fight against I dont know what is. The spirituality of Christianity is an acquired taste to which the vast majority of the world has no attraction.  The world desperately needs a spiritual revival to rejuvenate the reality of shared common humanity. But religions are not doing it for us.    In the 1960s and 70s the hippies had an amazing kind of spirituality  a generous spirit of love for humanity inclusiveness and peace based on social democracy.   That spirit still lives in the Scandinavian nations.   No nation better embodies the ideals of Christianity certainly not the US which says they believe in the 10 Commandments but lives by the 10 Delusions.,0.7,neutral,,none,
Waikiki is Ft. Lauderdale and Ko Olina is Palm Beach to the discriminating New York visitor.  Thats one hll of a statement.  KO is more like Orlando.  In fact New Yorkers stay away from here.  Nothing will satisfy you.  You remind me of the mainland Chinese.....loud rude and classless.,0.5,bias,asians,race,prejudice against asians
Thats like saying the conservatives and GOP have endlessly supported racism and bigotry for the last four decades but suddenly want everyone to tolerate and embrace white supremacist. See how ridiculous that sounds.,0.5,bias,"conservatives,whites","political,race",prejudice against conservativess
There are Muslims who ran under the Conservative party and one was elected in the last election. Stop embarrassing yourself.,0.7,bias,muslims,religion,prejudice against muslims
Its just a continuation of them agitating and promoting their trendy lives: denying without repentance the Churchs teaching then demanding to be served and praised in death.  Its like the homosexuals showing up at the Christian bakery.  Its an attack.,0.6,bias,"christians,homosexuals","religion,lgbtq",prejudice against christians and homosexuals
Romney trump already said that both sides were bad people you had racist on both sides you had the white KKK the black KKK white supremacist and black supremacist and neo Nazi so both sides were racist is trump only suppose to blame one side and not the other wake up Romney and smell what your shoveling.,0.6,bias,"blacks,whites",race,prejudice against blacks and whites
CIA not happy about this Their moderate Islamic terrorists are losing,0.5,bias,muslims,religion,prejudice against muslims
So basically Doug is saying that the Christians who run the west with their War against Drugs War against Sex Sin  freedom of speech and even men are just as radical as the Muslims in the east with their intolerant attitude toward freedom of speech gays and women?,0.8,bias,"christians,muslims",religion,prejudice against christians
In related news: citing the fact that 93 of black lives are taken by blacks BLM has asked that blacks be banned from Pride.,0.6,bias,blacks,race,prejudice against blacks
The. Transgender pervert republicans need to be sent home  replaced immediately ,0.657142857,bias,lgbtq,lgbtq,prejudice against transgenders
Are you out of your mind? Political thought is not protected.  If you want to be a activist go to a Muslim bakery pretend you are gay and order a gay wedding cake. When they refuse you can sue.,0.6,bias,muslims,religion,prejudice against muslims
Only if you prefer North Korean style law.,0.272727273,neutral,,none,
Oh those peace loving Muslims aka Seventh Century DEATH CULT are at it yet again,0.7,bias,muslims,religion,prejudice against muslims
Fairy tails related to gay and transgender people. Nice to see you have  sense of humor.,0.6,bias,"gays,transgenders",lgbtq,prejudice against gays and transgenders
another black mark against united somehow they dont like Asians.  well I wont ever fly united again.  it is a piss poor airline with racists employees.,0.525,neutral,,none,
Yet another slaughter by an angry white dude in Gunmerica,0.5625,bias,whites,race,prejudice against whites
How racist of you We all know black people and black secret servicemen arent allowed to eat at Dennys LOL,0.693333333,bias,blacks,race,prejudice against blacks
In the 50s  Muslim garb would have been assumed to be some obscure order of Catholic nuns.,0.5,bias,"muslims,christians",religion,prejudice against muslims and christians
